"Внешний код";"Наименование элемента";"Артикул [ARTNUMBER]";"Бренд [MANUFACTURER]";"Название раздела";"Название раздела";"Название раздела";"Цена ""Розничная цена""";"Валюта для цены ""Розничная цена"""
"00-00001840";"T-Коннектор для однофазного накладного трека";"001840";"SWG";"Светильники";"Трековые системы";"Однофазные трековые системы";"495.00";"RUB"
"00-00004388";"T-коннектор для трехфазного трека";"004388";"DesignLed";"Светильники";"Трековые системы";"Трехфазные трековые системы";"1970.00";"RUB"
"00-00004389";"T-коннектор для трехфазного трека";"004389";"DesignLed";"Светильники";"Трековые системы";"Трехфазные трековые системы";"1970.00";"RUB"
"00-00005445";"T-коннектор для трехфазного трека";"005445";"DesignLed";"Светильники";"Трековые системы";"Трехфазные трековые системы";"1970.00";"RUB"
"00-00005446";"T-коннектор для трехфазного трека";"005446";"DesignLed";"Светильники";"Трековые системы";"Трехфазные трековые системы";"1970.00";"RUB"
"00-00007050";"T-элемент из профиля PL01";"007050";"LumFer";"Профильные системы";"Профили для натяжного потолка";"Серия LF";"3209.00";"RUB"
"00-00007057";"T-элемент из профиля TR30";"007057";"LumFer";"Профильные системы";"Профили для натяжного потолка";"Серия LF";"3209.00";"RUB"
"10146";"Test";"";"";"Маркетинговая продукция";"";"";"";""
"00-00011710";"TRI-LC15-300-50";"011710";"";"Светильники";"COMBO 2";"";"1510.00";"RUB"
"00-00001703";"WEB-сервер EasyDim ES-HC";"001703";"EasyDim";"Управление светом";"Беспроводная система EasyDim";"WiFi решения";"15210.00";"RUB"
"easy127";"WiFi шлюз Easydim RF-GW";"";"";"Управление светом";"Управление со смартфонов, планшетов и ПК";"";"5300.00";"RUB"
"00-00001526";"WIFI-RF шлюз EasyDim RF-GW (B)";"001526";"EasyDim";"Управление светом";"Беспроводная система EasyDim";"WiFi решения";"9168.00";"RUB"
"00-00003131";"WIFI-RF шлюз EasyDim RF-GW (W)";"003131";"EasyDim";"Управление светом";"Беспроводная система EasyDim";"WiFi решения";"9168.00";"RUB"
"00-00002031";"X-Коннектор для однофазного накладного трека";"002031";"SWG";"Светильники";"Трековые системы";"Однофазные трековые системы";"495.00";"RUB"
"00-00002032";"X-Коннектор для однофазного накладного трека";"002032";"SWG";"Светильники";"Трековые системы";"Однофазные трековые системы";"495.00";"RUB"
"00-00003726";"X-коннектор для однофазного трека";"003726";"DesignLed";"Светильники";"Трековые системы";"Однофазные трековые системы";"495.00";"RUB"
"00-00003727";"X-коннектор для однофазного трека";"003727";"DesignLed";"Светильники";"Трековые системы";"Однофазные трековые системы";"495.00";"RUB"
"00-00004390";"X-коннектор для трехфазного трека";"004390";"DesignLed";"Светильники";"Трековые системы";"Трехфазные трековые системы";"2383.00";"RUB"
"00-00005447";"X-коннектор для трехфазного трека";"005447";"DesignLed";"Светильники";"Трековые системы";"Трехфазные трековые системы";"2383.00";"RUB"
"00-00007051";"X-элемент из профиля PL01";"007051";"LumFer";"Профильные системы";"Профили для натяжного потолка";"Серия LF";"3209.00";"RUB"
"00-00007058";"X-элемент из профиля TR30";"007058";"LumFer";"Профильные системы";"Профили для натяжного потолка";"Серия LF";"3209.00";"RUB"
"00-00013287";"Алюминиевая заглушка";"013287";"SWG pro";"Подсветка";"Светодиодная лента";"Лента SWG";"991.00";"RUB"
"00-00010352";"Алюминиевый профиль Design LED LE 2613, 2500 мм, анодированный";"010352";"DesignLed";"Профильные системы";"Профили для ленты";"Серия LE";"2879.00";"RUB"
"";"";"";"";"Подсветка";"Профиль";"Серия LE";"";""
"00-00010356";"Алюминиевый профиль Design LED LE 4932, 2500 мм, анодированный";"010356";"DesignLed";"Профильные системы";"Профили для ленты";"Серия LE";"4684.00";"RUB"
"";"";"";"";"Подсветка";"Профиль";"Серия LE";"";""
"00-00010357";"Алюминиевый профиль Design LED LE 4932, 2500 мм, белый";"010357";"DesignLed";"Профильные системы";"Профили для ленты";"Серия LE";"4790.00";"RUB"
"";"";"";"";"Подсветка";"Профиль";"Серия LE";"";""
"00-00010358";"Алюминиевый профиль Design LED LE 6332, 2500 мм, анодированный";"010358";"DesignLed";"Профильные системы";"Профили для ленты";"Серия LE";"5652.00";"RUB"
"";"";"";"";"Подсветка";"Профиль";"Серия LE";"";""
"00-00010359";"Алюминиевый профиль Design LED LE 6332, 2500 мм, белый";"010359";"DesignLed";"Профильные системы";"Профили для ленты";"Серия LE";"5864.00";"RUB"
"";"";"";"";"Подсветка";"Профиль";"Серия LE";"";""
"00-00010367";"Алюминиевый профиль Design LED LS 4932, 2500 мм, анодированный";"010367";"DesignLed";"Профильные системы";"Профили для ленты";"Серия LS";"5546.00";"RUB"
"";"";"";"";"Подсветка";"Профиль";"Серия LS";"";""
"00-00010370";"Алюминиевый профиль Design LED LS 4970, 2500 мм, анодированный";"010370";"DesignLed";"Профильные системы";"Профили для ленты";"Серия LS";"8531.00";"RUB"
"";"";"";"";"Подсветка";"Профиль";"Серия LS";"";""
"00-00010368";"Алюминиевый профиль Design LED LS 5050, 2500 мм, анодированный";"010368";"DesignLed";"Профильные системы";"Профили для ленты";"Серия LS";"5758.00";"RUB"
"";"";"";"";"Подсветка";"Профиль";"Серия LS";"";""
"00-00010369";"Алюминиевый профиль Design LED LS 5050, 2500 мм, белый";"010369";"DesignLed";"Профильные системы";"Профили для ленты";"Серия LS";"6077.00";"RUB"
"";"";"";"";"Подсветка";"Профиль";"Серия LS";"";""
"";"";"";"";"Акция";"";"";"";""
"";"";"";"";"Акция";"Профиль";"";"";""
"00-00010363";"Алюминиевый профиль Design LED LS1613, 2500 мм, анодированный";"010363";"DesignLed";"Профильные системы";"Профили для ленты";"Серия LS";"2242.00";"RUB"
"";"";"";"";"Подсветка";"Профиль";"Серия LS";"";""
"00-00010364";"Алюминиевый профиль Design LED LS1613, 2500 мм, белый";"010364";"DesignLed";"Профильные системы";"Профили для ленты";"Серия LS";"2454.00";"RUB"
"";"";"";"";"Подсветка";"Профиль";"Серия LS";"";""
"00-00010365";"Алюминиевый профиль Design LED LS3535, 2500 мм, анодированный";"010365";"DesignLed";"Профильные системы";"Профили для ленты";"Серия LS";"5333.00";"RUB"
"";"";"";"";"Подсветка";"Профиль";"Серия LS";"";""
"00-00010366";"Алюминиевый профиль Design LED LS3535, 2500 мм, белый";"010366";"DesignLed";"Профильные системы";"Профили для ленты";"Серия LS";"5546.00";"RUB"
"";"";"";"";"Подсветка";"Профиль";"Серия LS";"";""
"00-00010360";"Алюминиевый профиль Design LED без видимой рамки LG16, 2500 мм, анодированный";"010360";"DesignLed";"Профильные системы";"Профили для ленты";"Серия LG";"4047.00";"RUB"
"";"";"";"";"Подсветка";"Профиль";"Серия LG";"";""
"00-00010361";"Алюминиевый профиль Design LED без видимой рамки LG35, 2500 мм, анодированный";"010361";"DesignLed";"Профильные системы";"Профили для ленты";"Серия LG";"7457.00";"RUB"
