"Внешний код";"Наименование элемента";"Артикул [ARTNUMBER]";"Бренд [MANUFACTURER]";"Название раздела";"Название раздела";"Название раздела";"Цена ""Розничная цена""";"Валюта для цены ""Розничная цена"""
"";"";"";"";"Подсветка";"Профиль";"Комплектующие";"";""
"00-00003347";"Заглушки для профиля DesignLed";"003347";"DesignLed";"Профильные системы";"Профили для ленты";"Комплектующие";"188.00";"RUB"
"";"";"";"";"Подсветка";"Профиль";"Комплектующие";"";""
"00-00003348";"Заглушки для профиля DesignLed";"003348";"DesignLed";"Профильные системы";"Профили для ленты";"Комплектующие";"200.00";"RUB"
"";"";"";"";"Подсветка";"Профиль";"Комплектующие";"";""
"00-00003349";"Заглушки для профиля DesignLed";"003349";"DesignLed";"Профильные системы";"Профили для ленты";"Комплектующие";"200.00";"RUB"
"";"";"";"";"Подсветка";"Профиль";"Комплектующие";"";""
"00-00003619";"Заглушки для профиля Lumker L5570";"003619";"Lumker";"Профильные системы";"Профили для ленты";"Серия L";"1097.00";"RUB"
"";"";"";"";"Подсветка";"Профиль";"Серия L";"";""
"00-00004711";"Заглушки для профиля Lumker L5570";"004711";"Lumker";"Профильные системы";"Профили для ленты";"Серия L";"1097.00";"RUB"
"";"";"";"";"Подсветка";"Профиль";"Серия L";"";""
"00-00006306";"Заглушки для профиля SWG";"006306";"SWG";"Профильные системы";"Профили для ленты";"Комплектующие";"507.00";"RUB"
"";"";"";"";"Подсветка";"Профиль";"Комплектующие";"";""
"00-00005813";"Заглушки для профиля SWG PRO";"005813";"SWG PRO";"Профильные системы";"Профили для ленты";"Профиль PRO";"330.00";"RUB"
"";"";"";"";"Подсветка";"Профиль";"Профиль PRO";"";""
"00-00005814";"Заглушки для профиля SWG PRO";"005814";"SWG PRO";"Профильные системы";"Профили для ленты";"Профиль PRO";"295.00";"RUB"
"";"";"";"";"Подсветка";"Профиль";"Профиль PRO";"";""
"00-00005815";"Заглушки для профиля SWG PRO";"005815";"SWG PRO";"Профильные системы";"Профили для ленты";"Профиль PRO";"165.00";"RUB"
"";"";"";"";"Подсветка";"Профиль";"Профиль PRO";"";""
"00-00005816";"Заглушки для профиля SWG PRO";"005816";"SWG PRO";"Профильные системы";"Профили для ленты";"Профиль PRO";"354.00";"RUB"
"";"";"";"";"Подсветка";"Профиль";"Профиль PRO";"";""
"00-00001015";"ИК-выключатель взмах руки SR-8001A";"001015";"SWG";"Управление светом";"Датчики";"ИК-датчики";"3056.00";"RUB"
"00-00001016";"ИК-выключатель взмах руки SR-8001A-N";"001016";"SWG";"Управление светом";"Датчики";"ИК-датчики";"3056.00";"RUB"
"00-00001605";"ИК-выключатель взмах руки SR-8001ADC";"001605";"SWG";"Управление светом";"Датчики";"ИК-датчики";"3492.00";"RUB"
"00-00000783";"ИК-выключатель взмах руки SR-8001ADC-N";"000783";"SWG";"Управление светом";"Датчики";"ИК-датчики";"3492.00";"RUB"
"00-00001022";"ИК-датчик открытия двери";"001022";"SWG";"Управление светом";"Датчики";"ИК-датчики";"3492.00";"RUB"
"00-00001017";"ИК-датчик открытия двери";"001017";"SWG";"Управление светом";"Датчики";"ИК-датчики";"3056.00";"RUB"
"00-00001018";"ИК-датчик открытия двери";"001018";"SWG";"Управление светом";"Датчики";"ИК-датчики";"3056.00";"RUB"
"00-00001021";"ИК-датчики открытие-закрытие двери";"001021";"SWG";"Управление светом";"Датчики";"ИК-датчики";"3492.00";"RUB"
"00-00000786";"ИК-диммер взмах руки SR-2005";"000786";"SWG";"Управление светом";"Датчики";"ИК-датчики";"4696.00";"RUB"
"00-00000787";"ИК-диммер взмах руки SR-2005N";"000787";"SWG";"Управление светом";"Датчики";"ИК-датчики";"4696.00";"RUB"
"00-00005237";"Кейс COMBO";"005237";"SWG PRO";"Светильники";"Потолочные";"Светильники-конструкторы";"10100.00";"RUB"
"";"";"";"";"Светильники";"COMBO";"";"";""
"00-00007116";"Кейс SY";"007116";"DesignLed";"Светильники";"Трековые системы";"Низковольтная трековая система SY";"43530.00";"RUB"
"00-00005239";"Кейс VILLY";"005239";"SWG PRO";"Светильники";"Потолочные";"Светильники-конструкторы";"33441.00";"RUB"
"";"";"";"";"Светильники";"VILLY";"";"";""
"00-00006329";"Кейс с образцами";"006329";"Lumker";"Светильники";"Офисные светильники";"Демо-кейсы NK";"142662.00";"RUB"
"00-00006134";"Кейс с образцами";"006134";"";"Светильники";"Офисные светильники";"Демо-кейсы";"0.00";"RUB"
"00-00006135";"Кейс с образцами";"006135";"";"Светильники";"Офисные светильники";"Демо-кейсы";"0.00";"RUB"
"00-00006136";"Кейс с образцами";"006136";"";"Светильники";"Офисные светильники";"Демо-кейсы";"0.00";"RUB"
"00-00006137";"Кейс с образцами";"006137";"";"Светильники";"Офисные светильники";"Демо-кейсы";"0.00";"RUB"
"00-00006138";"Кейс с образцами";"006138";"";"Светильники";"Офисные светильники";"Демо-кейсы";"0.00";"RUB"
"00-00006139";"Кейс с образцами";"006139";"";"Светильники";"Офисные светильники";"Демо-кейсы";"0.00";"RUB"
"00-00001505";"Клавиша EasyDim W-K1";"001505";"EasyDim";"Управление светом";"Беспроводная система EasyDim";"Настенные панели";"6065.00";"RUB"
"00-00001506";"Клавиша EasyDim W-K2";"001506";"EasyDim";"Управление светом";"Беспроводная система EasyDim";"Настенные панели";"6065.00";"RUB"
"00-00007385";"Клипса крепежная алюминиевая";"007385";"SWG";"Подсветка";"Светодиодная лента";"Неоновая лента";"61.00";"RUB"
"00-00007384";"Клипса крепежная пластиковая";"007384";"SWG";"Подсветка";"Светодиодная лента";"Неоновая лента";"30.00";"RUB"
"00-00001789";"Кнопка EasyDim DESK-MINI-B";"001789";"EasyDim";"Управление светом";"Беспроводная система EasyDim";"Пульты DESK";"1722.00";"RUB"
"00-00001534";"Кнопка EasyDim DESK-MINI-SL";"001534";"EasyDim";"Управление светом";"Беспроводная система EasyDim";"Пульты DESK";"1722.00";"RUB"
"00-00002185";"Кнопка EasyDim DESK-MINI-W";"002185";"EasyDim";"Управление светом";"Беспроводная система EasyDim";"Пульты DESK";"1722.00";"RUB"
"00-00013579";"Комплект заглушек для встраиваемых шинопроводов SY-LINK";"013579";"LUMKER";"Светильники";"Трековые системы";"Магнитная система SY-LINK";"428.00";"RUB"
"00-00013580";"Комплект заглушек для встраиваемых шинопроводов SY-LINK";"013580";"LUMKER";"Светильники";"Трековые системы";"Магнитная система SY-LINK";"428.00";"RUB"
"00-00013583";"Комплект заглушек для встраиваемых шинопроводов SY-LINK";"013583";"LUMKER";"Светильники";"Трековые системы";"Магнитная система SY-LINK";"342.00";"RUB"
"00-00013584";"Комплект заглушек для встраиваемых шинопроводов SY-LINK";"013584";"LUMKER";"Светильники";"Трековые системы";"Магнитная система SY-LINK";"342.00";"RUB"
"00-00013581";"Комплект заглушек для накладного шинопровода SY-LINK";"013581";"LUMKER";"Светильники";"Трековые системы";"Магнитная система SY-LINK";"428.00";"RUB"
"00-00013582";"Комплект заглушек для накладного шинопровода SY-LINK";"013582";"LUMKER";"Светильники";"Трековые системы";"Магнитная система SY-LINK";"428.00";"RUB"
"00-00013585";"Комплект заглушек для накладного шинопровода SY-LINK";"013585";"LUMKER";"Светильники";"Трековые системы";"Магнитная система SY-LINK";"342.00";"RUB"
"00-00013586";"Комплект заглушек для накладного шинопровода SY-LINK";"013586";"LUMKER";"Светильники";"Трековые системы";"Магнитная система SY-LINK";"342.00";"RUB"
"00-00010385";"Комплект креплений для профиля DesignLed";"010385";"DesignLed";"Профильные системы";"Профили для ленты";"Комплектующие";"755.00";"RUB"
"";"";"";"";"Подсветка";"Профиль";"Комплектующие";"";""
"00-00010383";"Комплект креплений для профиля DesignLed";"010383";"DesignLed";"Профильные системы";"Профили для ленты";"Комплектующие";"755.00";"RUB"
"";"";"";"";"Подсветка";"Профиль";"Комплектующие";"";""
"00-00011107";"Комплект креплений для профиля DesignLed";"011107";"DesignLed";"Профильные системы";"Профили для ленты";"Комплектующие";"271.00";"RUB"
"";"";"";"";"Подсветка";"Профиль";"Комплектующие";"";""
"00-00012028";"Комплект проводов для COMBO2.0, CN-COMBO2-DRV";"012028";"";"Светильники";"COMBO 2";"";"129.00";"RUB"
"00-00012730";"Комплект скоб металлических для термоленты светодиодной";"012730";"SWG";"Подсветка";"Светодиодная лента";"Термолента";"37.00";"RUB"
"00000000950";"Коннектор для RGB ленты 220 вольт";"000950";"SWG";"Подсветка";"Лента 220";"Комплектующие";"83.00";"RUB"
"00-00006397";"Коннектор для гибкой шины Linea light 81419";"006397";"";"Светильники";"Люстры";"Италия";"4790.00";"RUB"
"00-00004378";"Коннектор для ленты DSG260S";"004378";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"99.00";"RUB"
"00-00001760";"Коннектор для ленты SMD-3014 220 вольт";"001760";"SWG";"Подсветка";"Лента 220";"Комплектующие";"70.00";"RUB"
"00000001111";"Коннектор для ленты SMD-3528 220 вольт";"001111";"SWG";"Подсветка";"Лента 220";"Комплектующие";"66.00";"RUB"
"00000000949";"Коннектор для ленты SMD-5050 220 вольт";"000949";"SWG";"Подсветка";"Лента 220";"Комплектующие";"82.00";"RUB"
"00000000164";"Коннектор для ленты SWG 2pin-10mm";"000164";"SWG";"Подсветка";"Светодиодная лента";"Лента SWG";"51.00";"RUB"
"00000000168";"Коннектор для ленты SWG 2pin-10mm30mm-1";"000168";"SWG";"Подсветка";"Светодиодная лента";"Лента SWG";"66.00";"RUB"
"00000000175";"Коннектор для ленты SWG 2pin-10mm30mm-2";"000175";"SWG";"Подсветка";"Светодиодная лента";"Лента SWG";"94.00";"RUB"
"00000000163";"Коннектор для ленты SWG 2pin-8mm";"000163";"SWG";"Подсветка";"Светодиодная лента";"Лента SWG";"51.00";"RUB"
"00000000170";"Коннектор для ленты SWG 2pin-8mm30mm-1";"000170";"SWG";"Подсветка";"Светодиодная лента";"Лента SWG";"68.00";"RUB"
"00000000179";"Коннектор для ленты SWG 2pin-8mm30mm-2";"000179";"SWG";"Подсветка";"Светодиодная лента";"Лента SWG";"101.00";"RUB"
"00000000165";"Коннектор для ленты SWG 4pin-10mm";"000165";"SWG";"Подсветка";"Светодиодная лента";"Лента SWG";"50.00";"RUB"
"00000000171";"Коннектор для ленты SWG 4pin-10mm30mm-1";"000171";"SWG";"Подсветка";"Светодиодная лента";"Лента SWG";"82.00";"RUB"
"00000000181";"Коннектор для ленты SWG 4pin-10mm30mm-2";"000181";"SWG";"Подсветка";"Светодиодная лента";"Лента SWG";"113.00";"RUB"
"00-00004165";"Коннектор для низковольтного трека SY";"004165";"DesignLed";"Светильники";"Трековые системы";"Низковольтная трековая система SY";"448.00";"RUB"
"00-00004503";"Коннектор для низковольтного трека SY";"004503";"DesignLed";"Светильники";"Трековые системы";"Низковольтная трековая система SY";"259.00";"RUB"
"00-00008155";"Коннектор для низковольтного трека SY mini";"008155";"DesignLed";"Светильники";"Трековые системы";"Низковольтная трековая система SY mini";"4082.00";"RUB"
"00-00008156";"Коннектор для низковольтного трека SY mini";"008156";"DesignLed";"Светильники";"Трековые системы";"Низковольтная трековая система SY mini";"4472.00";"RUB"
"00-00001087";"Коннектор для профиля DesignLed";"001087";"DesignLed";"Профильные системы";"Профили для ленты";"Комплектующие";"1262.00";"RUB"
"";"";"";"";"Подсветка";"Профиль";"Комплектующие";"";""
"00-00001088";"Коннектор для профиля DesignLed";"001088";"DesignLed";"Профильные системы";"Профили для ленты";"Комплектующие";"1262.00";"RUB"
"";"";"";"";"Подсветка";"Профиль";"Комплектующие";"";""
"00-00001089";"Коннектор для профиля DesignLed";"001089";"DesignLed";"Профильные системы";"Профили для ленты";"Комплектующие";"849.00";"RUB"
"";"";"";"";"Подсветка";"Профиль";"Комплектующие";"";""
"00-00002321";"Коннектор для профиля DesignLed";"002321";"DesignLed";"Профильные системы";"Профили для ленты";"Комплектующие";"2230.00";"RUB"
"";"";"";"";"Подсветка";"Профиль";"Комплектующие";"";""
"00-00002320";"Коннектор для профиля DesignLed";"002320";"DesignLed";"Профильные системы";"Профили для ленты";"Комплектующие";"1463.00";"RUB"
"";"";"";"";"Подсветка";"Профиль";"Комплектующие";"";""
"00-00001970";"Коннектор для профиля DesignLed";"001970";"DesignLed";"Профильные системы";"Профили для ленты";"Комплектующие";"743.00";"RUB"
"";"";"";"";"Подсветка";"Профиль";"Комплектующие";"";""
"00-00003783";"Коннектор для профиля DesignLed";"003783";"DesignLed";"Профильные системы";"Профили для ленты";"Комплектующие";"0.00";"RUB"
"";"";"";"";"Подсветка";"Профиль";"Комплектующие";"";""
"00-00003226";"Коннектор для профиля Lumker L5570";"003226";"Lumker";"Профильные системы";"Профили для ленты";"Серия L";"625.00";"RUB"
"";"";"";"";"Подсветка";"Профиль";"Серия L";"";""
"00-00003227";"Коннектор для профиля Lumker L9086";"003227";"Lumker";"Профильные системы";"Профили для ленты";"Серия L";"731.00";"RUB"
"";"";"";"";"Подсветка";"Профиль";"Серия L";"";""
"00-00013575";"Коннектор питания с проводом SY-LINK";"013575";"LUMKER";"Светильники";"Трековые системы";"Магнитная система SY-LINK";"856.00";"RUB"
"00-00013576";"Коннектор питания с проводом SY-LINK";"013576";"LUMKER";"Светильники";"Трековые системы";"Магнитная система SY-LINK";"856.00";"RUB"
"00-00013587";"Коннектор прямой для встраиваемых шинопроводов SY-LINK";"013587";"LUMKER";"Светильники";"Трековые системы";"Магнитная система SY-LINK";"1147.00";"RUB"
"00-00013588";"Коннектор прямой для встраиваемых шинопроводов SY-LINK";"013588";"LUMKER";"Светильники";"Трековые системы";"Магнитная система SY-LINK";"1147.00";"RUB"
"00-00013590";"Коннектор прямой для встраиваемых шинопроводов SY-LINK";"013590";"LUMKER";"Светильники";"Трековые системы";"Магнитная система SY-LINK";"1147.00";"RUB"
"00-00013589";"Коннектор прямой для накладных шинопроводов SY-LINK";"013589";"LUMKER";"Светильники";"Трековые системы";"Магнитная система SY-LINK";"1147.00";"RUB"
"00-00013289";"Коннектор соединительный";"013289";"SWG pro";"Подсветка";"Светодиодная лента";"Лента SWG";"885.00";"RUB"
"00-00013618";"Коннектор угловой внутренний для встраиваемого глубокого шинопровода SY-LINK под гипсокартон";"013618";"LUMKER";"Светильники";"Трековые системы";"Магнитная система SY-LINK";"2012.00";"RUB"
"00-00013616";"Коннектор угловой внутренний для встраиваемого глубокого шинопровода SY-LINK под шпаклевку";"013616";"LUMKER";"Светильники";"Трековые системы";"Магнитная система SY-LINK";"2012.00";"RUB"
"00-00013614";"Коннектор угловой внутренний для встраиваемого низкопрофильного шинопровода SY-LINK";"013614";"LUMKER";"Светильники";"Трековые системы";"Магнитная система SY-LINK";"1927.00";"RUB"
"00-00013615";"Коннектор угловой внутренний для встраиваемого шинопровода SY-LINK";"013615";"LUMKER";"Светильники";"Трековые системы";"Магнитная система SY-LINK";"1927.00";"RUB"
"00-00013617";"Коннектор угловой внутренний для встраиваемого шинопровода SY-LINK";"013617";"LUMKER";"Светильники";"Трековые системы";"Магнитная система SY-LINK";"2012.00";"RUB"
"00-00013619";"Коннектор угловой внутренний для встраиваемого шинопровода SY-LINK";"013619";"LUMKER";"Светильники";"Трековые системы";"Магнитная система SY-LINK";"2012.00";"RUB"
"00-00013610";"Коннектор угловой внутренний для накладного шинопровода SY-LINK";"013610";"LUMKER";"Светильники";"Трековые системы";"Магнитная система SY-LINK";"1627.00";"RUB"
"00-00013611";"Коннектор угловой внутренний для накладного шинопровода SY-LINK";"013611";"LUMKER";"Светильники";"Трековые системы";"Магнитная система SY-LINK";"1627.00";"RUB"
"00-00013612";"Коннектор угловой внутренний для накладного шинопровода SY-LINK";"013612";"LUMKER";"Светильники";"Трековые системы";"Магнитная система SY-LINK";"1584.00";"RUB"
"00-00013613";"Коннектор угловой внутренний для накладного шинопровода SY-LINK";"013613";"LUMKER";"Светильники";"Трековые системы";"Магнитная система SY-LINK";"1584.00";"RUB"
"00-00013606";"Коннектор угловой горизонтальный для встраиваемого глубокого шинопровода SY-LINK под гипсокартон";"013606";"LUMKER";"Светильники";"Трековые системы";"Магнитная система SY-LINK";"2012.00";"RUB"
"00-00013608";"Коннектор угловой горизонтальный для встраиваемого глубокого шинопровода SY-LINK под шпаклевку";"013608";"LUMKER";"Светильники";"Трековые системы";"Магнитная система SY-LINK";"2012.00";"RUB"
"00-00013602";"Коннектор угловой горизонтальный для встраиваемого низкопрофильного шинопровода SY-LINK";"013602";"LUMKER";"Светильники";"Трековые системы";"Магнитная система SY-LINK";"1927.00";"RUB"
"00-00013603";"Коннектор угловой для встраиваемого шинопровода SY-LINK";"013603";"LUMKER";"Светильники";"Трековые системы";"Магнитная система SY-LINK";"1927.00";"RUB"
"00-00013607";"Коннектор угловой для встраиваемого шинопровода SY-LINK";"013607";"LUMKER";"Светильники";"Трековые системы";"Магнитная система SY-LINK";"2012.00";"RUB"
"00-00013609";"Коннектор угловой для встраиваемого шинопровода SY-LINK";"013609";"LUMKER";"Светильники";"Трековые системы";"Магнитная система SY-LINK";"2012.00";"RUB"
"00-00013600";"Коннектор угловой для накладного шинопровода SY-LINK";"013600";"LUMKER";"Светильники";"Трековые системы";"Магнитная система SY-LINK";"1584.00";"RUB"
"00-00013601";"Коннектор угловой для накладного шинопровода SY-LINK";"013601";"LUMKER";"Светильники";"Трековые системы";"Магнитная система SY-LINK";"1584.00";"RUB"
"00-00013604";"Коннектор угловой для накладного шинопровода SY-LINK";"013604";"LUMKER";"Светильники";"Трековые системы";"Магнитная система SY-LINK";"1627.00";"RUB"
"00-00013605";"Коннектор угловой для накладного шинопровода SY-LINK";"013605";"LUMKER";"Светильники";"Трековые системы";"Магнитная система SY-LINK";"1627.00";"RUB"
"00-00010590";"Коннектор угловой для низковольтного трека SY";"010590";"DesignLed";"Светильники";"Трековые системы";"Низковольтная трековая система SY";"3551.00";"RUB"
"00-00010589";"Коннектор угловой для низковольтного трека SY";"010589";"DesignLed";"Светильники";"Трековые системы";"Низковольтная трековая система SY";"3943.00";"RUB"
"00-00010591";"Коннектор угловой для низковольтного трека SY";"010591";"DesignLed";"Светильники";"Трековые системы";"Низковольтная трековая система SY";"3943.00";"RUB"
"00-00010592";"Коннектор угловой для низковольтного трека SY";"010592";"DesignLed";"Светильники";"Трековые системы";"Низковольтная трековая система SY";"3551.00";"RUB"
"00-00015020";"Коннектор угловой потолочный встраиваемый SWG Pro";"015020";"SWG PRO";"Профильные системы";"Профили для ленты";"Профиль PRO";"1036.00";"RUB"
"";"";"";"";"Подсветка";"Профиль";"Профиль PRO";"";""
"00-00007387";"Коннекторы-иголки для прямого соединения";"007387";"SWG";"Подсветка";"Светодиодная лента";"Неоновая лента";"21.00";"RUB"
"00-00007488";"Контроллер EASYBUS для светодиодной ленты 5 в 1 (монохромный, CCT, RGB/RGBW, RGB+CCT), 5x4A";"007488";"EasyDim";"Управление светом";"Беспроводная система Easybus";"";"5911.00";"RUB"
"";"";"";"";"Управление светом";"Беспроводная система Easybus";"Приемники";"";""
"00-00011686";"Контроллер для SPI ленты WS2812";"011686";"SWG";"Управление светом";"Контроллеры и диммеры";"Серия RF RGB";"849.00";"RUB"
"00000000935";"Контроллер для ленты IR-RGB-12A-music";"000935";"SWG";"Управление светом";"Контроллеры и диммеры";"Серия IR";"3315.00";"RUB"
"00000000931";"Контроллер для ленты IR-RGB-20-18A";"000931";"SWG";"Управление светом";"Контроллеры и диммеры";"Серия IR";"1640.00";"RUB"
"00000000932";"Контроллер для ленты IR-RGB-24-6A";"000932";"SWG";"Управление светом";"Контроллеры и диммеры";"Серия IR";"483.00";"RUB"
"00000000232";"Контроллер для ленты IR-RGB-44-6A";"000232";"SWG";"Управление светом";"Контроллеры и диммеры";"Серия IR";"649.00";"RUB"
"09-00900041";"Контроллер для ленты LN-DIM-8A";"900041";"SWG";"Управление светом";"Контроллеры и диммеры";"Серия MINI (Мини контроллеры без пульта)";"519.00";"RUB"
"00-00001864";"Контроллер для ленты LN-WIFI-12A";"001864";"SWG";"Управление светом";"Контроллеры и диммеры";"Серия RF RGB";"0.00";"RUB"
"00000000263";"Контроллер для ленты M-DIM-6А";"000263";"SWG";"Управление светом";"Контроллеры и диммеры";"Серия MINI (Мини контроллеры без пульта)";"401.00";"RUB"
"00-00001147";"Контроллер для ленты M-RGB-6А";"001147";"SWG";"Управление светом";"Контроллеры и диммеры";"Серия MINI (Мини контроллеры без пульта)";"342.00";"RUB"
"00-00015669";"Контроллер для ленты M-SPI-F12WH";"015669";"SWG";"Управление светом";"Контроллеры и диммеры";"Серия RF RGB";"1105.00";"RUB"
"00-00000235";"Контроллер для ленты RF-MIX-RS-12A";"000235";"SWG";"Управление светом";"Контроллеры и диммеры";"Серия RF-MIX";"3056.00";"RUB"
"00-00000297";"Контроллер для ленты RF-MIX-WS-8A";"000297";"SWG";"Управление светом";"Контроллеры и диммеры";"Серия RF-MIX";"2240.00";"RUB"
"00-00001283";"Контроллер для ленты RF-RGB-10-6A";"001283";"SWG";"Управление светом";"Контроллеры и диммеры";"Серия RF RGB";"507.00";"RUB"
"09-00900230";"Контроллер для ленты RF-RGB-20-18A";"900230";"SWG";"Управление светом";"Контроллеры и диммеры";"Серия RF RGB";"1640.00";"RUB"
"00-00002475";"Контроллер для ленты RF-RGB-20-24A";"002475";"SWG";"Управление светом";"Контроллеры и диммеры";"Серия RF RGB";"2395.00";"RUB"
"00000000933";"Контроллер для ленты RF-RGB-44-18A";"000933";"SWG";"Управление светом";"Контроллеры и диммеры";"Серия RF RGB";"2442.00";"RUB"
"00000000279";"Контроллер для ленты RF-RGB-S-18A-WH1";"000279";"SWG";"Управление светом";"Контроллеры и диммеры";"Серия RF RGB";"2926.00";"RUB"
"00000000963";"Контроллер для ленты RF-RGB-S-18A-WH2";"000963";"SWG";"Управление светом";"Контроллеры и диммеры";"Серия RF RGB";"3186.00";"RUB"
"00000000936";"Контроллер для ленты RF-RGB-S-24A";"000936";"SWG";"Управление светом";"Контроллеры и диммеры";"Серия RF RGB";"3020.00";"RUB"
"00-00001903";"Контроллер для ленты RF-RGB-S5-18A";"001903";"SWG";"Управление светом";"Контроллеры и диммеры";"Серия RF RGB";"2761.00";"RUB"
"00000000212";"Контроллер для ленты RF-RGB-SM2-18A-BL";"000212";"SWG";"Управление светом";"Контроллеры и диммеры";"Серия RF RGB";"3186.00";"RUB"
"00-00000296";"Контроллер для ленты RF-RGBW-S-24A";"000296";"SWG";"Управление светом";"Контроллеры и диммеры";"Серия RF RGB";"2761.00";"RUB"
"00-00007209";"Контроллер для ленты RF-SPI-WS2811";"007209";"SWG";"Управление светом";"Контроллеры и диммеры";"Серия RF RGB";"2820.00";"RUB"
"00-00000648";"Контроллер для ленты SMD-5050 RGB 220 вольт";"000648";"SWG";"Подсветка";"Лента 220";"Комплектующие";"837.00";"RUB"
"00-00004214";"Контроллер для ленты TC-DIM-6A";"004214";"SWG";"Управление светом";"Контроллеры и диммеры";"Серия MINI (Мини контроллеры без пульта)";"1864.00";"RUB"
"00-00000035";"Контроллер черный для ленты SMD-5050 RGB 220 вольт";"000035";"SWG";"Подсветка";"Лента 220";"Комплектующие";"2501.00";"RUB"
"00-00007503";"Контроллер шторы EASYBUS";"007503";"EasyDim";"Управление светом";"Беспроводная система Easybus";"";"7729.00";"RUB"
"";"";"";"";"Управление светом";"Беспроводная система Easybus";"Приемники";"";""
"00-00008762";"Корпус светильника  COMBO2-ST-BL Черный";"008762";"Lumker";"Светильники";"COMBO 2";"";"955.00";"RUB"
"00-00003955";"Корпус светильника COMBO-10";"003955";"SWG PRO";"Светильники";"Потолочные";"Светильники-конструкторы";"1404.00";"RUB"
"";"";"";"";"Светильники";"COMBO";"";"";""
"00-00003956";"Корпус светильника COMBO-10";"003956";"SWG PRO";"Светильники";"Потолочные";"Светильники-конструкторы";"1404.00";"RUB"
"";"";"";"";"Светильники";"COMBO";"";"";""
"00-00005099";"Корпус светильника COMBO-11";"005099";"SWG PRO";"Светильники";"Потолочные";"Светильники-конструкторы";"1404.00";"RUB"
"";"";"";"";"Светильники";"COMBO";"";"";""
"00-00004152";"Корпус светильника COMBO-20";"004152";"SWG PRO";"Светильники";"Потолочные";"Светильники-конструкторы";"0.00";"RUB"
"";"";"";"";"Светильники";"COMBO";"";"";""
"00-00004153";"Корпус светильника COMBO-20";"004153";"SWG PRO";"Светильники";"Потолочные";"Светильники-конструкторы";"0.00";"RUB"
"";"";"";"";"Светильники";"COMBO";"";"";""
"00-00004154";"Корпус светильника COMBO-20";"004154";"SWG PRO";"Светильники";"Потолочные";"Светильники-конструкторы";"2430.00";"RUB"
"";"";"";"";"Светильники";"COMBO";"";"";""
"00-00004155";"Корпус светильника COMBO-20";"004155";"SWG PRO";"Светильники";"Потолочные";"Светильники-конструкторы";"2430.00";"RUB"
"";"";"";"";"Светильники";"COMBO";"";"";""
"00-00004156";"Корпус светильника COMBO-20";"004156";"SWG PRO";"Светильники";"Потолочные";"Светильники-конструкторы";"0.00";"RUB"
"";"";"";"";"Светильники";"COMBO";"";"";""
"00-00004157";"Корпус светильника COMBO-20";"004157";"SWG PRO";"Светильники";"Потолочные";"Светильники-конструкторы";"0.00";"RUB"
"";"";"";"";"Светильники";"COMBO";"";"";""
"00-00004158";"Корпус светильника COMBO-20";"004158";"SWG PRO";"Светильники";"Потолочные";"Светильники-конструкторы";"4613.00";"RUB"
"";"";"";"";"Светильники";"COMBO";"";"";""
"00-00004159";"Корпус светильника COMBO-20";"004159";"SWG PRO";"Светильники";"Потолочные";"Светильники-конструкторы";"4613.00";"RUB"
"";"";"";"";"Светильники";"COMBO";"";"";""
"00-00004160";"Корпус светильника COMBO-20";"004160";"SWG PRO";"Светильники";"Потолочные";"Светильники-конструкторы";"4613.00";"RUB"
"";"";"";"";"Светильники";"COMBO";"";"";""
"00-00004161";"Корпус светильника COMBO-20";"004161";"SWG PRO";"Светильники";"Потолочные";"Светильники-конструкторы";"4613.00";"RUB"
"";"";"";"";"Светильники";"COMBO";"";"";""
"00-00004169";"Корпус светильника COMBO-31";"004169";"SWG PRO";"Светильники";"Потолочные";"Светильники-конструкторы";"0.00";"RUB"
"";"";"";"";"Светильники";"COMBO";"";"";""
"00-00004170";"Корпус светильника COMBO-31";"004170";"SWG PRO";"Светильники";"Потолочные";"Светильники-конструкторы";"0.00";"RUB"
"";"";"";"";"Светильники";"COMBO";"";"";""
"00-00004171";"Корпус светильника COMBO-32";"004171";"SWG PRO";"Светильники";"Потолочные";"Светильники-конструкторы";"0.00";"RUB"
"";"";"";"";"Светильники";"COMBO";"";"";""
"00-00004172";"Корпус светильника COMBO-32";"004172";"SWG PRO";"Светильники";"Потолочные";"Светильники-конструкторы";"0.00";"RUB"
"";"";"";"";"Светильники";"COMBO";"";"";""
"00-00004173";"Корпус светильника COMBO-34";"004173";"SWG PRO";"Светильники";"Потолочные";"Светильники-конструкторы";"1121.00";"RUB"
"";"";"";"";"Светильники";"COMBO";"";"";""
"00-00004174";"Корпус светильника COMBO-34";"004174";"SWG PRO";"Светильники";"Потолочные";"Светильники-конструкторы";"1121.00";"RUB"
"";"";"";"";"Светильники";"COMBO";"";"";""
"00-00004180";"Корпус светильника COMBO-41";"004180";"SWG PRO";"Светильники";"Потолочные";"Светильники-конструкторы";"1581.00";"RUB"
"";"";"";"";"Светильники";"COMBO";"";"";""
"00-00004181";"Корпус светильника COMBO-41";"004181";"SWG PRO";"Светильники";"Потолочные";"Светильники-конструкторы";"1581.00";"RUB"
"";"";"";"";"Светильники";"COMBO";"";"";""
"00-00004182";"Корпус светильника COMBO-42";"004182";"SWG PRO";"Светильники";"Потолочные";"Светильники-конструкторы";"1829.00";"RUB"
"";"";"";"";"Светильники";"COMBO";"";"";""
