"Внешний код";"Длинное наименование [OLD_NAME]";"Артикул [ARTNUMBER]";"Бренд [MANUFACTURER]";"Название раздела";"Название раздела";"Название раздела";"Цена ""Розничная цена""";"Валюта для цены ""Розничная цена""";"Количество на складе ""Основной склад (с. Дмитровское)"""
"00-00004389";"T коннектор для трековых систем, правый, черный";"004389";"DesignLed";"Светильники";"Трековые системы";"Трехфазные трековые системы";"1970.00";"RUB";"79"
"00-00005445";"T коннектор для трековых систем, левый, белый";"005445";"DesignLed";"Светильники";"Трековые системы";"Трехфазные трековые системы";"1970.00";"RUB";"0"
"00-00005446";"T коннектор для трековых систем, правый, белый";"005446";"DesignLed";"Светильники";"Трековые системы";"Трехфазные трековые системы";"1970.00";"RUB";"0"
"00-00007050";"";"007050";"LumFer";"Профильные системы";"Профили для натяжного потолка";"Серия LF";"3209.00";"RUB";""
"00-00007057";"";"007057";"LumFer";"Профильные системы";"Профили для натяжного потолка";"Серия LF";"3209.00";"RUB";""
"10146";"";"";"";"Маркетинговая продукция";"";"";"";"";""
"00-00011710";"Драйвер Tridonic LC15/300/50 fixC SR SNC2";"011710";"";"Светильники";"COMBO 2";"";"1510.00";"RUB";"2130"
"00-00001703";"Веб-сервер ES-HC для приложения Easydim. Включена лицензия на 15 зон.";"001703";"EasyDim";"Управление светом";"Беспроводная система EasyDim";"WiFi решения";"15210.00";"RUB";""
"easy127";"";"";"";"Управление светом";"Управление со смартфонов, планшетов и ПК";"";"5300.00";"RUB";""
"00-00001526";"WiFi шлюз RF-GW";"001526";"EasyDim";"Управление светом";"Беспроводная система EasyDim";"WiFi решения";"9168.00";"RUB";"0"
"00-00003131";"WiFi шлюз RF-GW";"003131";"EasyDim";"Управление светом";"Беспроводная система EasyDim";"WiFi решения";"9168.00";"RUB";"0"
"00-00002031";"x коннектор для однофазных трековыx систем, Белый";"002031";"SWG";"Светильники";"Трековые системы";"Однофазные трековые системы";"495.00";"RUB";"0"
"00-00002032";"x коннектор для однофазных трековыx систем, Черный";"002032";"SWG";"Светильники";"Трековые системы";"Однофазные трековые системы";"495.00";"RUB";"0"
"00-00003726";"X коннектор для трековых систем, белый";"003726";"DesignLed";"Светильники";"Трековые системы";"Однофазные трековые системы";"495.00";"RUB";"40"
"00-00003727";"X коннектор для трековых систем, черный";"003727";"DesignLed";"Светильники";"Трековые системы";"Однофазные трековые системы";"495.00";"RUB";"50"
"00-00004390";"X коннектор для трековых систем, черный";"004390";"DesignLed";"Светильники";"Трековые системы";"Трехфазные трековые системы";"2383.00";"RUB";"96"
"00-00005447";"X коннектор для трековых систем, белый";"005447";"DesignLed";"Светильники";"Трековые системы";"Трехфазные трековые системы";"2383.00";"RUB";"0"
"00-00007051";"";"007051";"LumFer";"Профильные системы";"Профили для натяжного потолка";"Серия LF";"3209.00";"RUB";""
"00-00007058";"";"007058";"LumFer";"Профильные системы";"Профили для натяжного потолка";"Серия LF";"3209.00";"RUB";""
"00-00013287";"";"013287";"SWG pro";"Подсветка";"Светодиодная лента";"Лента SWG";"991.00";"RUB";"0"
"00-00010352";"Встраиваемый алюминиевый профиль LE.2613-R";"010352";"DesignLed";"Профильные системы";"Профили для ленты";"Серия LE";"2879.00";"RUB";"604"
"";"";"";"";"Подсветка";"Профиль";"Серия LE";"";"";""
"00-00010356";"Встраиваемый алюминиевый профиль LE.4932-R";"010356";"DesignLed";"Профильные системы";"Профили для ленты";"Серия LE";"4684.00";"RUB";"71"
"";"";"";"";"Подсветка";"Профиль";"Серия LE";"";"";""
"00-00010357";"Встраиваемый алюминиевый профиль LE.4932-W-R, белый";"010357";"DesignLed";"Профильные системы";"Профили для ленты";"Серия LE";"4790.00";"RUB";"0"
"";"";"";"";"Подсветка";"Профиль";"Серия LE";"";"";""
"00-00010358";"Встраиваемый алюминиевый профиль LE.6332-R";"010358";"DesignLed";"Профильные системы";"Профили для ленты";"Серия LE";"5652.00";"RUB";"0"
"";"";"";"";"Подсветка";"Профиль";"Серия LE";"";"";""
"00-00010359";"Встраиваемый алюминиевый профиль LE.6332-W-R, белый";"010359";"DesignLed";"Профильные системы";"Профили для ленты";"Серия LE";"5864.00";"RUB";"0"
"";"";"";"";"Подсветка";"Профиль";"Серия LE";"";"";""
"00-00010367";"Подвесной/накладной алюминиевый профиль LS.4932-R";"010367";"DesignLed";"Профильные системы";"Профили для ленты";"Серия LS";"5546.00";"RUB";"382"
"";"";"";"";"Подсветка";"Профиль";"Серия LS";"";"";""
"00-00010370";"Подвесной/накладной алюминиевый профиль LS.4970-R";"010370";"DesignLed";"Профильные системы";"Профили для ленты";"Серия LS";"8531.00";"RUB";"76"
"";"";"";"";"Подсветка";"Профиль";"Серия LS";"";"";""
"00-00010368";"Подвесной/накладной алюминиевый профиль LS.5050-R";"010368";"DesignLed";"Профильные системы";"Профили для ленты";"Серия LS";"5758.00";"RUB";"299"
"";"";"";"";"Подсветка";"Профиль";"Серия LS";"";"";""
"00-00010369";"Подвесной/накладной алюминиевый профиль LS.5050-W-R, белый";"010369";"DesignLed";"Профильные системы";"Профили для ленты";"Серия LS";"6077.00";"RUB";"0"
"";"";"";"";"Подсветка";"Профиль";"Серия LS";"";"";""
"";"";"";"";"Акция";"";"";"";"";""
"";"";"";"";"Акция";"Профиль";"";"";"";""
"00-00010363";"Накладной алюминиевый профиль LS.1613-R для однорядной ленты";"010363";"DesignLed";"Профильные системы";"Профили для ленты";"Серия LS";"2242.00";"RUB";"308"
"";"";"";"";"Подсветка";"Профиль";"Серия LS";"";"";""
"00-00010364";"Накладной алюминиевый профиль LS.1613-W-R белый,  для однорядной ленты";"010364";"DesignLed";"Профильные системы";"Профили для ленты";"Серия LS";"2454.00";"RUB";"52"
"";"";"";"";"Подсветка";"Профиль";"Серия LS";"";"";""
"00-00010365";"Подвесной/накладной алюминиевый профиль LS.3535-R";"010365";"DesignLed";"Профильные системы";"Профили для ленты";"Серия LS";"5333.00";"RUB";"198"
"";"";"";"";"Подсветка";"Профиль";"Серия LS";"";"";""
"00-00010366";"Подвесной/накладной алюминиевый профиль LS.3535-W-R, белый";"010366";"DesignLed";"Профильные системы";"Профили для ленты";"Серия LS";"5546.00";"RUB";"0"
"";"";"";"";"Подсветка";"Профиль";"Серия LS";"";"";""
"00-00010360";"Встраиваемый в гипсокартон алюминиевый профиль LG16-R алюминий 6060 T66, поликарбонат";"010360";"DesignLed";"Профильные системы";"Профили для ленты";"Серия LG";"4047.00";"RUB";"0"
"";"";"";"";"Подсветка";"Профиль";"Серия LG";"";"";""
"00-00010361";"Встраиваемый в гипсокартон алюминиевый профиль LG35-R Алюминий 6060 T66, поликарбонат";"010361";"DesignLed";"Профильные системы";"Профили для ленты";"Серия LG";"7457.00";"RUB";"203"
"";"";"";"";"Подсветка";"Профиль";"Серия LG";"";"";""
"00-00010362";"Встраиваемый в гипсокартон алюминиевый профиль LG49-R алюминий, поликарбонат";"010362";"DesignLed";"Профильные системы";"Профили для ленты";"Серия LG";"8637.00";"RUB";"0"
"";"";"";"";"Подсветка";"Профиль";"Серия LG";"";"";""
"00-00014741";"Алюминиевый профиль SWG Pro встраиваемый в натяжной потолок CAT-35, 2000 мм (с экраном и заглушками)";"014741";"SWG PRO";"Профильные системы";"Профили для ленты";"Профиль PRO";"5062.00";"RUB";"0"
"";"";"";"";"Подсветка";"Профиль";"Профиль PRO";"";"";""
"00-00019210";"Алюминиевый профиль SWG Pro встраиваемый в нат.потолок CAT35, 2м (с поликарб. экраном и заглушками)";"019210";"SWG PRO";"Профильные системы";"Профили для ленты";"Профиль PRO";"5062.00";"RUB";"0"
"00-00003777";"Экранирующая антибликовая решетка";"003777";"SWG PRO";"Светильники";"Потолочные";"Светильники-конструкторы";"283.00";"RUB";"327"
"";"";"";"";"Светильники";"COMBO";"";"";"";""
"00-00008802";"";"008802";"";"Светильники";"COMBO 2";"";"637.00";"RUB";"435"
"00-00014425";"Антибликовая решетка RINK R-HC10";"014425";"Lumker";"Светильники";"Потолочные";"Накладные потолочные ";"236.00";"RUB";"0"
"00-00007491";"Байпас для диммера ESB-AC-DIM400";"007491";"EasyDim";"Управление светом";"Беспроводная система Easybus";"";"637.00";"RUB";"278"
"";"";"";"";"Управление светом";"Беспроводная система Easybus";"Приемники";"";"";""
"9845";"";"-";"";"Светильники";"COMBO 2";"";"";"";""
"9991";"";"-";"";"Светильники";"COMBO 2";"";"0.00";"RUB";""
"10063";"";"";"";"Светильники";"COMBO 2";"";"";"";""
"00-00005653";"Блок питания для светодиодной ленты LUX сверхтонкий, 24В, 100Вт, IP20";"005653";"Lumker";"Подсветка";"Блоки питания";"LUMKER L-LUX. Сверхтонкие LUX IP20";"3528.00";"RUB";"0"
"00-00005654";"Блок питания для светодиодной ленты LUX сверхтонкий, 24В, 150Вт, IP20";"005654";"Lumker";"Подсветка";"Блоки питания";"LUMKER L-LUX. Сверхтонкие LUX IP20";"5380.00";"RUB";"219"
