"Внешний код";"Длинное наименование [OLD_NAME]";"Артикул [ARTNUMBER]";"Бренд [MANUFACTURER]";"Название раздела";"Название раздела";"Название раздела";"Цена ""Розничная цена""";"Валюта для цены ""Розничная цена""";"Количество на складе ""Основной склад (с. Дмитровское)"""
"00-00000528";"Лента светодиодная LUX, 2835, 196 LED/м, 18 Вт/м, 24В, IP33, Нейтральный белый (4000K)";"000528";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"1498.00";"RUB";"1180"
"00-00000529";"Лента светодиодная LUX, 2835, 196 LED/м, 18 Вт/м, 24В, IP33, Теплый белый (3000K)";"000529";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"1498.00";"RUB";"0"
"00-00000530";"Лента светодиодная LUX, 2835, 252 LED/м, 24 Вт/м, 24В, IP33, Нейтральный белый (4000K)";"000530";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"2253.00";"RUB";"0"
"00-00001493";"Лента светодиодная LUX, 2835, 252 LED/м, 24 Вт/м, 24В, IP33, Теплый белый (2700K)";"001493";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"2253.00";"RUB";"170"
"00-00000531";"Лента светодиодная LUX, 2835, 280 LED/м, 26 Вт/м, 24В, IP33, Нейтральный белый (4000K)";"000531";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"2619.00";"RUB";"0"
"00-00000533";"Лента светодиодная LUX, 2835, 280 LED/м, 26 Вт/м, 24В, IP33, Теплый белый (3000K)";"000533";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"2619.00";"RUB";"152"
"00-00003246";"Лента светодиодная LUX, 2835, 280 LED/м, 25 Вт/м, 24В, IP33, Нейтральный белый (4000K)";"003246";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"2194.00";"RUB";"0"
"00-00000594";"Лента светодиодная LUX, 2835, 350 LED/м, 31 Вт/м, 24В, IP33, Нейтральный белый (4000K)";"000594";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"2761.00";"RUB";"50"
"00-00000534";"Лента светодиодная LUX, 2835, 350 LED/м, 31 Вт/м, 24В, IP33, Теплый белый (3000K)";"000534";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"3327.00";"RUB";"30"
"00-00003247";"Лента светодиодная LUX, 2835, 420 LED/м, 40 Вт/м, 24В, IP33, Нейтральный белый (4000K)";"003247";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"3953.00";"RUB";"0"
"00-00001491";"Лента светодиодная LUX, 2835, 60 LED/м, 7,2 Вт/м, 12В, IP33, Нейтральный белый (4000K)";"001491";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"637.00";"RUB";"935"
"00-00001492";"Лента светодиодная LUX, 2835, 60 LED/м, 7,2 Вт/м, 12В, IP33, Теплый белый (3000K)";"001492";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"637.00";"RUB";"485"
"00-00004496";"Лента светодиодная LUX, 2835, 60 LED/м, 7,2 Вт/м, 12В, IP33, Холодный белый (6000K)";"004496";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"637.00";"RUB";"335"
"00-00004375";"Лента светодиодная LUX, 2835, 60 LED/м, 6 Вт/м, 24В, IP67, Теплый белый (2700K)";"004375";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"849.00";"RUB";"0"
"00-00004376";"Лента светодиодная LUX, 2835, 60 LED/м, 6 Вт/м, 24В, IP67, Нейтральный белый (4000K)";"004376";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"849.00";"RUB";"0"
"00-00004377";"Лента светодиодная LUX, 2835, 60 LED/м, 6 Вт/м, 24В, IP67, Холодный белый (6000K)";"004377";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"849.00";"RUB";"0"
"00-00000526";"Лента светодиодная LUX, 2835, 98 LED/м, 10 Вт/м, 24В, IP33, Нейтральный белый (4000K)";"000526";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"743.00";"RUB";"810"
"00-00000527";"Лента светодиодная LUX, 2835, 98 LED/м, 10 Вт/м, 24В, IP33, Теплый белый (2700K)";"000527";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"743.00";"RUB";"5830"
"00-00002840";"Лента светодиодная LUX, 2216, 300 LED/м, 20 Вт/м, 24В, IP33, Теплый белый (3000K)";"002840";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"1416.00";"RUB";""
"";"";"";"";"Акция";"";"";"";"";""
"";"";"";"";"Акция";"Светодиодная лента";"";"";"";""
"00-00002841";"Лента светодиодная LUX, 2216, 300 LED/м, 20 Вт/м, 24В, IP33, Нейтральный белый (4000K)";"002841";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"1416.00";"RUB";""
"00-00000525";"Лента светодиодная LUX, 3528, 120 LED/м, 9,6 Вт/м, 12В, IP33, Холодный белый (6000K)";"000525";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"731.00";"RUB";"530"
"00-00002482";"Лента светодиодная LUX, 3528, 120 LED/м, 9,6 Вт/м, 24В, IP33, Холодный белый (6000K)";"002482";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"731.00";"RUB";"60"
"00-00001132";"Лента светодиодная LUX, 3528, 120 LED/м, 9,6 Вт/м, 12В, IP33, Нейтральный белый (4000K)";"001132";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"731.00";"RUB";"25"
"00-00001487";"Лента светодиодная LUX, 3528, 120 LED/м, 9,6 Вт/м, 12В, IP33, Теплый белый (2700K)";"001487";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"731.00";"RUB";"1595"
"00-00000153";"Лента светодиодная LUX, 3528, 120 LED/м, 9,6 Вт/м, 24В, IP33, Теплый белый (2700K)";"000153";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"731.00";"RUB";"1780"
"00-00002293";"Лента светодиодная LUX, 3528, 120 LED/м, 9,6 Вт/м, 24В, IP65, Холодный белый (6000K)";"002293";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"979.00";"RUB";"10"
"00-00001890";"Лента светодиодная LUX, 3528, 120 LED/м, 9,6 Вт/м, 24В, IP65, Теплый белый (2700K)";"001890";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"979.00";"RUB";"310"
"00-00002764";"Лента светодиодная LUX, 3528, 120 LED/м, 9,6 Вт/м, 24В, IP33, Нейтральный белый (4000K)";"002764";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"731.00";"RUB";"3760"
"00-00002765";"Лента светодиодная LUX, 3528, 120 LED/м, 9,6 Вт/м, 12В, IP65, Холодный белый (6000K)";"002765";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"932.00";"RUB";"330"
"00-00002369";"Лента светодиодная LUX, 3528, 120 LED/м, 9,6 Вт/м, 12В, IP65, Нейтральный белый (4000K)";"002369";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"932.00";"RUB";"325"
"00-00002766";"Лента светодиодная LUX, 3528, 120 LED/м, 9,6 Вт/м, 24В, IP65, Нейтральный белый (4000K)";"002766";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"979.00";"RUB";"1560"
"00-00003352";"Лента светодиодная LUX, 3528, 120 LED/м, 9,6 Вт/м, 12В, IP65, Теплый белый (2700K)";"003352";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"932.00";"RUB";"5"
"00-00000524";"Лента светодиодная LUX, 3528, 60 LED/м, 4,8 Вт/м, 12В, IP33, Холодный белый (6000K)";"000524";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"424.00";"RUB";"700"
"00-00001818";"Лента светодиодная LUX, 3528, 60 LED/м, 4,8 Вт/м, 12В, IP33, Нейтральный белый (4000K)";"001818";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"424.00";"RUB";"415"
"00-00001131";"Лента светодиодная LUX, 3528, 60 LED/м, 4,8 Вт/м, 12В, IP33, Теплый белый (2700K)";"001131";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"424.00";"RUB";"155"
"00-00000262";"Лента светодиодная LUX, 3528, 60 LED/м, 4,8 Вт/м, 12В, IP65, Холодный белый (6000K)";"000262";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"696.00";"RUB";"50"
"00-00003110";"Лента светодиодная LUX, 3528, 60 LED/м, 4,8 Вт/м, 24В, IP65, Холодный белый (6000K)";"003110";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"696.00";"RUB";"0"
"00-00004497";"Лента светодиодная LUX, 3528, 60 LED/м, 4,8 Вт/м, 12В, IP65, Нейтральный белый (4000K)";"004497";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"696.00";"RUB";"140"
"00-00005702";"Лента светодиодная LUX, 3528, 60 LED/м, 4,8 Вт/м, 12В, IP65, Теплый белый (2700КK)";"005702";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"696.00";"RUB";"0"
"00-00005703";"Лента светодиодная LUX, 3528, 60 LED/м, 4,8 Вт/м, 24В, IP65, Нейтральный белый (4000K)";"005703";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"696.00";"RUB";"10"
"00-00005704";"Лента светодиодная LUX, 3528, 60 LED/м, 4,8 Вт/м, 24В, IP65, Теплый белый (2700КK)";"005704";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"696.00";"RUB";"0"
"00-00012711";"Лента светодиодная LUX, 3528, 60 LED/м, 4,8 Вт/м, 24В, IP33, Нейтральный белый (4000K)";"012711";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"424.00";"RUB";"0"
"00-00012712";"Лента светодиодная LUX, 3528, 60 LED/м, 4,8 Вт/м, 24В, IP33, Холодный белый (6000K)";"012712";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"424.00";"RUB";"0"
"00-00012713";"Лента светодиодная LUX, 3528, 60 LED/м, 4,8 Вт/м, 24В, IP33, Теплый белый (2700K)";"012713";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"342.00";"RUB";"130"
"00-00002845";"Лента светодиодная LUX, 3535, 120 LED/м, 20 Вт/м, 24В, IP33, RGB (K)";"002845";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"1805.00";"RUB";"0"
"00-00002843";"Лента светодиодная LUX, 3535, 60 LED/м, 14,4 Вт/м, 24В, IP33, RGB (K)";"002843";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"1014.00";"RUB";"0"
"00-00000523";"Лента светодиодная LUX, 5050, 120 LED/м, 28,8 Вт/м, 24В, IP33, Теплый белый (3000K)";"000523";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"1640.00";"RUB";"0"
"00-00001133";"Лента светодиодная LUX, 5050, 120 LED/м, 28,8 Вт/м, 24В, IP33, Нейтральный белый (4000K)";"001133";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"1640.00";"RUB";"0"
"00-00000522";"Лента светодиодная LUX, 5050, 120 LED/м, 28,8 Вт/м, 24В, IP33, Холодный белый (6000K)";"000522";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"1640.00";"RUB";"60"
"00-00001205";"Лента светодиодная LUX, 5050, 120 LED/м, 28,8 Вт/м, 24В, IP33, RGB + нейтральный белый (RGB+4000K)";"001205";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"2017.00";"RUB";"5"
"00-00000514";"Лента светодиодная LUX, 5050, 120 LED/м, 28,8 Вт/м, 24В, IP33, RGB + холодный белый (RGB+6000K)";"000514";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"2017.00";"RUB";"0"
"00-00001134";"Лента светодиодная LUX, 5050, 120 LED/м, 28,8 Вт/м, 24В, IP33, RGB + теплый белый (RGB+3000K)";"001134";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"2017.00";"RUB";"15"
"00-00000515";"Лента светодиодная LUX, 5050, 120 LED/м, 28,8 Вт/м, 24В, IP33, Теплый белый + холодный белый (3000-6000K)";"000515";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"2017.00";"RUB";"0"
"00-00012710";"Лента светодиодная LUX, 5050, 120 LED/м, 28,8 Вт/м, 24В, IP33, RGB (RGBK)";"012710";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"1817.00";"RUB";"15"
"00-00000513";"Лента светодиодная LUX, 5050, 60 LED/м, 14,4 Вт/м, 12В, IP33, Холодный белый (6000K)";"000513";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"967.00";"RUB";"10"
"00-00000603";"Лента светодиодная LUX, 5050, 60 LED/м, 14,4 Вт/м, 12В, IP33, RGB (K)";"000603";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"967.00";"RUB";"940"
"00-00000516";"Лента светодиодная LUX, 5050, 60 LED/м, 14,4 Вт/м, 12В, IP33, Теплый белый (2700K)";"000516";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"967.00";"RUB";"10"
"00-00000517";"Лента светодиодная LUX, 5050, 60 LED/м, 14,4 Вт/м, 12В, IP33, Нейтральный белый (4000K)";"000517";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"967.00";"RUB";"310"
"00-00000518";"Лента светодиодная LUX, 5050, 60 LED/м, 14,4 Вт/м, 12В, IP65, Холодный белый (6000K)";"000518";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"1357.00";"RUB";"0"
"00-00000519";"Лента светодиодная LUX, 5050, 60 LED/м, 14,4 Вт/м, 12В, IP65, Теплый белый (2700K)";"000519";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"1357.00";"RUB";"105"
"00-00001489";"Лента светодиодная LUX, 5050, 60 LED/м, 14,4 Вт/м, 12В, IP65, RGB (K)";"001489";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"1357.00";"RUB";"170"
"00-00002377";"Лента светодиодная LUX, 5050, 60 LED/м, 14,4 Вт/м, 24В, IP65, Холодный белый (6000K)";"002377";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"1357.00";"RUB";"0"
"00-00002118";"Лента светодиодная LUX, 5050, 60 LED/м, 14,4 Вт/м, 24В, IP33, Нейтральный белый (4000K)";"002118";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"967.00";"RUB";"390"
"00-00000521";"Лента светодиодная LUX, 5050, 60 LED/м, 14,4 Вт/м, 24В, IP33, Теплый белый (2700K)";"000521";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"967.00";"RUB";"15"
"00-00001653";"Лента светодиодная LUX, 5050, 60 LED/м, 14,4 Вт/м, 24В, IP33, RGB (K)";"001653";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"967.00";"RUB";"0"
"00-00002378";"Лента светодиодная LUX, 5050, 60 LED/м, 14,4 Вт/м, 24В, IP65, Нейтральный белый (4000K)";"002378";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"1357.00";"RUB";"0"
"00-00000520";"Лента светодиодная LUX, 5050, 60 LED/м, 14,4 Вт/м, 24В, IP33, Холодный белый (6000K)";"000520";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"967.00";"RUB";"0"
"00-00001488";"Лента светодиодная LUX, 5050, 60 LED/м, 14,4 Вт/м, 12В, IP65, Нейтральный белый (4000K)";"001488";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"1357.00";"RUB";"35"
"00-00003350";"Лента светодиодная LUX, 5050, 60 LED/м, 14,4 Вт/м, 24В, IP65, Теплый белый (2700K)";"003350";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"1357.00";"RUB";"135"
"00-00003351";"Лента светодиодная LUX, 5050, 60 LED/м, 14,4 Вт/м, 24В, IP65, RGB (K)";"003351";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"1357.00";"RUB";"105"
"00-00001824";"Лента светодиодная LUX, 5730, 120 LED/м, 26,8 Вт/м, 24В, IP33, Холодный белый (6000K)";"001824";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"2183.00";"RUB";"230"
"";"";"";"";"Акция";"";"";"";"";""
"";"";"";"";"Акция";"Светодиодная лента";"";"";"";""
"00-00001823";"Лента светодиодная LUX, 5730, 120 LED/м, 26,8 Вт/м, 24В, IP33, Теплый белый + холодный белый (2700-6000K)";"001823";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"3504.00";"RUB";"15"
"00-00004498";"Лента светодиодная LUX, 5730, 60 LED/м, 14,4 Вт/м, 24В, IP33, Холодный белый (6500K)";"004498";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"1439.00";"RUB";"1625"
"00-00005762";"Лента светодиодная LUX, 3838, 240 LED/м, 16,4 Вт/м, 24В, IP33, RGB";"005762";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"2006.00";"RUB";"0"
"00-00006608";"Лента светодиодная LUX для морепродуктов, 2835, 140 LED/м, 14,4 Вт/м, 24В, IP33, Нейтральный белый (3700-4250K)";"006608";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"1380.00";"RUB";"145"
"00-00006609";"Лента светодиодная LUX для мясных продуктов, 2835, 140 LED/м, 14,4 Вт/м, 24В, IP33, Теплый белый (1800-2000K)";"006609";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"1380.00";"RUB";"620"
"00-00006610";"Лента светодиодная LUX для хлебных изделий, 2835, 140 LED/м, 14,4 Вт/м, 24В, IP33, Теплый белый (2200-2400K)";"006610";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"1380.00";"RUB";"520"
"00-00003143";"Лента светодиодная LUMKER, 2835, 98 LED/м, 10 Вт/м, 24В, IP33, Нейтральный белый (4000K)";"003143";"Lumker";"Подсветка";"Светодиодная лента";"Лента LUX";"932.00";"RUB";"0"
"00-00003142";"Лента светодиодная LUMKER, 2835, 98 LED/м, 10 Вт/м, 24В, IP33, Теплый белый (3000K)";"003142";"Lumker";"Подсветка";"Светодиодная лента";"Лента LUX";"932.00";"RUB";"0"
"00-00003145";"Лента светодиодная LUMKER, 2835, 168 LED/м, 17 Вт/м, 24В, IP33, Нейтральный белый (4000K)";"003145";"Lumker";"Подсветка";"Светодиодная лента";"Лента LUX";"1593.00";"RUB";"0"
"00-00003144";"Лента светодиодная LUMKER, 2835, 168 LED/м, 17 Вт/м, 24В, IP33, Теплый белый (3000K)";"003144";"Lumker";"Подсветка";"Светодиодная лента";"Лента LUX";"1593.00";"RUB";"0"
"00-00003147";"Лента светодиодная LUMKER, 2835, 196 LED/м, 18 Вт/м, 24В, IP33, Нейтральный белый (4000K)";"003147";"Lumker";"Подсветка";"Светодиодная лента";"Лента LUX";"1640.00";"RUB";"0"
"00-00003146";"Лента светодиодная LUMKER, 2835, 196 LED/м, 18 Вт/м, 24В, IP33, Теплый белый (3000K)";"003146";"Lumker";"Подсветка";"Светодиодная лента";"Лента LUX";"1640.00";"RUB";""
"00-00003149";"Лента светодиодная LUMKER, 2835, 252 LED/м, 24 Вт/м, 24В, IP33, Нейтральный белый (4000K)";"003149";"Lumker";"Подсветка";"Светодиодная лента";"Лента LUX";"2478.00";"RUB";""
"00-00003148";"Лента светодиодная LUMKER, 2835, 252 LED/м, 24 Вт/м, 24В, IP33, Теплый белый (3000K)";"003148";"Lumker";"Подсветка";"Светодиодная лента";"Лента LUX";"2478.00";"RUB";"0"
"00-00003151";"Лента светодиодная LUMKER, 2835, 280 LED/м, 26 Вт/м, 24В, IP33, Нейтральный белый (4000K)";"003151";"Lumker";"Подсветка";"Светодиодная лента";"Лента LUX";"2678.00";"RUB";"0"
"00-00003150";"Лента светодиодная LUMKER, 2835, 280 LED/м, 26 Вт/м, 24В, IP33, Теплый белый (3000K)";"003150";"Lumker";"Подсветка";"Светодиодная лента";"Лента LUX";"2678.00";"RUB";"0"
"00-00003153";"Лента светодиодная LUMKER, 2835, 350 LED/м, 31 Вт/м, 24В, IP33, Нейтральный белый (4000K)";"003153";"Lumker";"Подсветка";"Светодиодная лента";"Лента LUX";"3481.00";"RUB";"0"
"00-00003152";"Лента светодиодная LUMKER, 2835, 350 LED/м, 31 Вт/м, 24В, IP33, Теплый белый (3000K)";"003152";"Lumker";"Подсветка";"Светодиодная лента";"Лента LUX";"3481.00";"RUB";""
"00-00012708";"Лента светодиодная LUX, 2835, 98 LED/м, 10 Вт/м, 24В, IP33, Теплый белый (3000K)";"012708";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"743.00";"RUB";"0"
"00-00012709";"Лента светодиодная LUX, 3528, 120 LED/м, 9,6 Вт/м, 24В, IP33, Теплый белый (3000K)";"012709";"DesignLed";"Подсветка";"Светодиодная лента";"Лента LUX";"731.00";"RUB";"25"
"00-00007115";"Лента светодиодная SPI, WS2811 стандарт 5050, 60 LED/м, 14,4 Вт/м, 12В , IP20, Цвет: RGB";"007115";"SWG";"Подсветка";"Светодиодная лента";"Лента SWG";"778.00";"RUB";"0"
"00-00001779";"Лента светодиодная эконом 5050, 60 LED/м, 14,4 Вт/м, 12В , IP20, Цвет: Холодный белый";"001779";"SWG";"Подсветка";"Светодиодная лента";"Лента SWG";"283.00";"RUB";"0"
"00-00001780";"Лента светодиодная эконом 5050, 60 LED/м, 14,4 Вт/м, 12В , IP20, Цвет: Теплый белый";"001780";"SWG";"Подсветка";"Светодиодная лента";"Лента SWG";"283.00";"RUB";"0"
"";"";"";"";"Акция";"";"";"";"";""
"";"";"";"";"Акция";"Светильники";"";"";"";""
"00-00002336";"Лента светодиодная эконом 5050, 60 LED/м, 14,4 Вт/м, 12В , IP20, Цвет: Красный";"002336";"SWG";"Подсветка";"Светодиодная лента";"Лента SWG";"283.00";"RUB";"0"
"";"";"";"";"Акция";"";"";"";"";""
"";"";"";"";"Акция";"Светодиодная лента";"";"";"";""
"00-00002335";"Лента светодиодная эконом 5050, 60 LED/м, 14,4 Вт/м, 12В , IP20, Цвет: Зеленый";"002335";"SWG";"Подсветка";"Светодиодная лента";"Лента SWG";"283.00";"RUB";"0"
"";"";"";"";"Акция";"";"";"";"";""
"";"";"";"";"Акция";"Светодиодная лента";"";"";"";""
"00-00002337";"Лента светодиодная эконом 5050, 60 LED/м, 14,4 Вт/м, 12В , IP20, Цвет: Синий";"002337";"SWG";"Подсветка";"Светодиодная лента";"Лента SWG";"283.00";"RUB";""
"";"";"";"";"Акция";"";"";"";"";""
"";"";"";"";"Акция";"Светодиодная лента";"";"";"";""
"00-00009951";"Лента светодиодная ПРО 2835, 168 LED/м, 17,3 Вт/м, 24В , IP20, Цвет: Холодный белый";"009951";"SWG";"Подсветка";"Светодиодная лента";"Лента SWG PRO";"932.00";"RUB";"0"
"00-00009953";"Лента светодиодная ПРО 2835, 168 LED/м, 17,3 Вт/м, 24В , IP20, Цвет: Нейтральный белый";"009953";"SWG";"Подсветка";"Светодиодная лента";"Лента SWG PRO";"932.00";"RUB";"0"
"00-00009952";"Лента светодиодная ПРО 2835, 168 LED/м, 17,3 Вт/м, 24В , IP20, Цвет: Теплый белый";"009952";"SWG";"Подсветка";"Светодиодная лента";"Лента SWG PRO";"932.00";"RUB";"0"
"00-00014200";"Лента светодиодная ПРО COB, 480 LED/м, 13,5 Вт/м, 24В , IP20, Цвет: Теплый белый";"014200";"SWG Pro";"Подсветка";"Светодиодная лента";"Лента SWG";"708.00";"RUB";"0"
"00-00014202";"Лента светодиодная ПРО COB, 480 LED/м, 13,5 Вт/м, 24В , IP20, Цвет: Нейтральный белый";"014202";"SWG Pro";"Подсветка";"Светодиодная лента";"Лента SWG";"708.00";"RUB";"2595"
"00-00014867";"Лента светодиодная ПРО COB, 400 LED/м, 4,8 Вт/м, 24В , IP20, Цвет: Теплый белый";"014867";"SWG Pro";"Подсветка";"Светодиодная лента";"Лента SWG";"1144.00";"RUB";"110"
"00-00014868";"Лента светодиодная ПРО COB, 400 LED/м, 4,8 Вт/м, 24В , IP20, Цвет: Нейтральный белый";"014868";"SWG Pro";"Подсветка";"Светодиодная лента";"Лента SWG";"1144.00";"RUB";"385"
"00-00003610";"Лента светодиодная ПРО 2835, 120 LED/м, 14,4 Вт/м, 24В , IP20, Цвет: Теплый белый + холодный белый";"003610";"SWG PRO";"Подсветка";"Светодиодная лента";"Лента SWG PRO";"1038.00";"RUB";"200"
"00-00005852";"Лента светодиодная ПРО 2835, 126 LED/м, 13 Вт/м, 24В , IP20, Цвет: Холодный белый";"005852";"SWG PRO";"Подсветка";"Светодиодная лента";"Лента SWG PRO";"708.00";"RUB";"0"
"00-00005853";"Лента светодиодная ПРО 2835, 126 LED/м, 13 Вт/м, 24В , IP20, Цвет: Нейтральный белый";"005853";"SWG PRO";"Подсветка";"Светодиодная лента";"Лента SWG PRO";"708.00";"RUB";"843"
"00-00005854";"Лента светодиодная ПРО 2835, 126 LED/м, 13 Вт/м, 24В , IP20, Цвет: Теплый белый";"005854";"SWG PRO";"Подсветка";"Светодиодная лента";"Лента SWG PRO";"708.00";"RUB";"85"
"00-00009917";"Лента со скотчем 3М светодиодная ПРО 2835, 126 LED/м, 13 Вт/м, 24В , IP20, Цвет: Холодный белый";"009917";"SWG";"Подсветка";"Светодиодная лента";"Лента SWG PRO";"708.00";"RUB";""
"00-00009918";"Лента со скотчем 3М светодиодная ПРО 2835, 126 LED/м, 13 Вт/м, 24В , IP20, Цвет: Нейтральный белый";"009918";"SWG";"Подсветка";"Светодиодная лента";"Лента SWG PRO";"708.00";"RUB";"0"
"00-00009919";"Лента со скотчем 3М светодиодная ПРО 2835, 126 LED/м, 13 Вт/м, 24В , IP20, Цвет: Теплый белый";"009919";"SWG";"Подсветка";"Светодиодная лента";"Лента SWG PRO";"708.00";"RUB";"0"
"00-00003598";"Лента светодиодная ПРО 2835, 128 LED/м, 11,5 Вт/м, 24В , IP20, Цвет: Холодный белый";"003598";"SWG PRO";"Подсветка";"Светодиодная лента";"Лента SWG PRO";"849.00";"RUB";"250"
"00-00003599";"Лента светодиодная ПРО 2835, 128 LED/м, 11,5 Вт/м, 24В , IP20, Цвет: Нейтральный белый";"003599";"SWG PRO";"Подсветка";"Светодиодная лента";"Лента SWG PRO";"849.00";"RUB";""
"00-00003600";"Лента светодиодная ПРО 2835, 128 LED/м, 11,5 Вт/м, 24В , IP20, Цвет: Теплый белый";"003600";"SWG PRO";"Подсветка";"Светодиодная лента";"Лента SWG PRO";"849.00";"RUB";"0"
"";"";"";"";"Акция";"";"";"";"";""
"";"";"";"";"Акция";"Светодиодная лента";"";"";"";""
"00-00003606";"Лента светодиодная ПРО 2835, 160 LED/м, 14,4 Вт/м, 24В , IP20, Цвет: Холодный белый";"003606";"SWG PRO";"Подсветка";"Светодиодная лента";"Лента SWG PRO";"1038.00";"RUB";"0"
"";"";"";"";"Акция";"";"";"";"";""
"";"";"";"";"Акция";"Светодиодная лента";"";"";"";""
"00-00003607";"Лента светодиодная ПРО 2835, 160 LED/м, 14,4 Вт/м, 24В , IP20, Цвет: Нейтральный белый";"003607";"SWG PRO";"Подсветка";"Светодиодная лента";"Лента SWG PRO";"1038.00";"RUB";"0"
"00-00003608";"Лента светодиодная ПРО 2835, 160 LED/м, 14,4 Вт/м, 24В , IP20, Цвет: Теплый белый";"003608";"SWG PRO";"Подсветка";"Светодиодная лента";"Лента SWG PRO";"1038.00";"RUB";"25"
"";"";"";"";"Акция";"";"";"";"";""
"";"";"";"";"Акция";"Светодиодная лента";"";"";"";""
